project,case_id,primitive,primitive_group,is_low_risk,n_fail,n_selfpure,n_upgrade_avoid,n_upgrade_neutralize,n_absent,n_excluded_missing_destination,n_total_instances,report_path
big_test1,10a9db4,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/10a9db4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,1966db2,CVW,CVW/AVW,1,0,0,0,0,1,6,0,/home/jpu007/ExpBridge/projects/big_test2/completed/1966db2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,1966db2,AVW,CVW/AVW,1,1,0,0,0,0,5,1,/home/jpu007/ExpBridge/projects/big_test2/completed/1966db2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,1966db2,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/1966db2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,1966db2,OUW,OUW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/1966db2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,1966db2,AAW,AAW,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test2/completed/1966db2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,1966db2,CFH,CFH,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test2/completed/1966db2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,1966db2,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/1966db2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,1fafa9c,CVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/1fafa9c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,1fafa9c,AVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/1fafa9c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,1fafa9c,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/1fafa9c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,1fafa9c,OUW,OUW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/1fafa9c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,1fafa9c,AAW,AAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/1fafa9c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,1fafa9c,CFH,CFH,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/1fafa9c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,1fafa9c,IF,IF,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/1fafa9c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,24d0577,CVW,CVW/AVW,1,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/24d0577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,24d0577,AVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/24d0577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,24d0577,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/24d0577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,24d0577,OUW,OUW,0,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/24d0577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,24d0577,AAW,AAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/24d0577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,24d0577,CFH,CFH,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/24d0577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,24d0577,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/24d0577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,28a66a9,CVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/28a66a9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,28a66a9,AVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/28a66a9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,28a66a9,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/28a66a9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,28a66a9,OUW,OUW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/28a66a9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,28a66a9,AAW,AAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/28a66a9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,28a66a9,CFH,CFH,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/28a66a9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,28a66a9,IF,IF,0,0,0,0,1,0,0,1,/home/jpu007/ExpBridge/projects/big_test3/completed/28a66a9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,29c47e9,CVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/29c47e9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,29c47e9,AVW,CVW/AVW,1,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/29c47e9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,29c47e9,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/29c47e9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,29c47e9,OUW,OUW,0,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/29c47e9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,29c47e9,AAW,AAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/29c47e9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,29c47e9,CFH,CFH,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/29c47e9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,29c47e9,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/29c47e9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,29cf0a3,CVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/29cf0a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,29cf0a3,AVW,CVW/AVW,1,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test3/completed/29cf0a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,29cf0a3,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/29cf0a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,29cf0a3,OUW,OUW,0,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test3/completed/29cf0a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,29cf0a3,AAW,AAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/29cf0a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,29cf0a3,CFH,CFH,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test3/completed/29cf0a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,29cf0a3,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/29cf0a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,2a99a1b,CVW,CVW/AVW,1,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test3/completed/2a99a1b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,2a99a1b,AVW,CVW/AVW,1,3,0,0,0,0,0,3,/home/jpu007/ExpBridge/projects/big_test3/completed/2a99a1b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,2a99a1b,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/2a99a1b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,2a99a1b,OUW,OUW,0,2,0,0,0,0,0,2,/home/jpu007/ExpBridge/projects/big_test3/completed/2a99a1b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,2a99a1b,AAW,AAW,0,0,3,0,0,0,0,3,/home/jpu007/ExpBridge/projects/big_test3/completed/2a99a1b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,2a99a1b,CFH,CFH,0,0,2,0,0,0,0,2,/home/jpu007/ExpBridge/projects/big_test3/completed/2a99a1b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,2a99a1b,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/2a99a1b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-3-2,32799a3,CVW,CVW/AVW,1,0,0,0,0,1,15,0,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/32799a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-3-2,32799a3,AVW,CVW/AVW,1,0,0,0,0,1,7,0,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/32799a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-3-2,32799a3,CAW,CAW,0,2,0,0,0,0,0,2,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/32799a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-3-2,32799a3,OUW,OUW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/32799a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-3-2,32799a3,AAW,AAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/32799a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-3-2,32799a3,CFH,CFH,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/32799a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-3-2,32799a3,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/32799a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,34a0f26,CVW,CVW/AVW,1,0,0,0,0,1,10,0,/home/jpu007/ExpBridge/projects/big_test3/completed/34a0f26/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,34a0f26,AVW,CVW/AVW,1,1,0,0,0,0,2,1,/home/jpu007/ExpBridge/projects/big_test3/completed/34a0f26/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,34a0f26,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/34a0f26/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,34a0f26,OUW,OUW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/34a0f26/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,34a0f26,AAW,AAW,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test3/completed/34a0f26/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,34a0f26,CFH,CFH,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test3/completed/34a0f26/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
